BehaviorSpace results (NetLogo 5.3.1);;;;;;;;
NCDrone_WS.nlogo;;;;;;;;
nc-ws20k;;;;;;;;
05/07/2019 08:50:55:040 -0300;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;
0;49;0;49;;;;;
[run number];number-of-ants;time-between-ants;[step];qmi;sdf;number-of-coverages;turn-side;turn-back
4;4;1;20000;755,84;0,75;30;21714;243
7;4;1;20000;757,09;0,7;30;21517;259
5;4;1;20000;761,11;0,68;30;21852;262
6;4;1;20000;754,23;0,74;30;21539;234
2;4;1;20000;762,17;0,7;30;21916;290
8;4;1;20000;767,55;0,72;30;21281;227
3;4;1;20000;765,94;0,68;30;21556;274
1;4;1;20000;759;0,69;30;21989;291
11;4;1;20000;753,3;0,74;30;21918;269
10;4;1;20000;756,48;0,74;30;22080;268
9;4;1;20000;759,29;0,68;30;21876;266
13;4;1;20000;755,24;0,75;30;22076;254
12;4;1;20000;763,39;0,77;30;21616;238
15;4;1;20000;756,86;0,73;30;21457;284
14;4;1;20000;767,09;0,65;30;22230;293
16;4;1;20000;764,84;0,72;30;21623;232
17;4;1;20000;760,53;0,78;29;21890;256
19;4;1;20000;760,65;0,76;30;22053;270
20;4;1;20000;762,61;0,69;30;21885;232
18;4;1;20000;768,4;0,75;30;22148;251
21;4;1;20000;768,06;0,71;30;21590;249
22;4;1;20000;767,41;0,76;30;22155;241
23;4;1;20000;761,6;0,76;30;21987;246
24;4;1;20000;761,96;0,73;30;21547;261
25;4;1;20000;755,08;0,72;30;21719;247
26;4;1;20000;755,35;0,74;30;21921;233
27;4;1;20000;760,45;0,73;30;21978;293
28;4;1;20000;762,68;0,69;30;21810;273
29;4;1;20000;759,11;0,75;30;21901;256
30;4;1;20000;763,16;0,68;30;21744;282
;;;;760,8823333;0,723;29,96666667;21818,93333;
;;;;4,467376522;0,032710854;0,182574186;235,1451398;
